ATF,1,,,,,
13,7,,,,,
Type=GenePix ArrayList V1.0,,,,,,
BlockCount=6,,,,,,
BlockType=3,,,,,,
"Supplier=MYcroarray.com, Ann Arbor, MI, USA",,,,,,
ArrayerSoftwareName=RotoSynth,,,,,,
ArrayerSoftwareVersion=1.0,,,,,,
ArrayName=CUST-6x7K-150619-ATPAptamer-8rep-JeffreyMunzar-layout,,,,,,
"Block1 = 2700.0, 18300.0, 40, 56, 110.9, 133, 82.3",,,,,,
"Block2 = 2700.0, 34000.0, 40, 56, 110.9, 133, 82.3",,,,,,
"Block3 = 2700.0, 44700.0, 40, 56, 110.9, 133, 82.3",,,,,,
"Block4 = 14200.0, 18300.0, 40, 56, 110.9, 133, 82.3",,,,,,
"Block5 = 14200.0, 34000.0, 40, 56, 110.9, 133, 82.3",,,,,,
"Block6 = 14200.0, 44700.0, 40, 56, 110.9, 133, 82.3",,,,,,
Block,Row,Column,Name,ID,ControlType,GeneName
1,1,1,MY-QC,noAa,pos,
1,1,2,MY-QC,noCa,pos,
1,1,3,MY-QC,noGa,pos,
1,1,4,MY-QC,noTa,pos,
1,1,5,MY-QC,Bota,pos,
1,1,6,MY-QC,Mida,pos,
1,1,7,MY-QC,Topa,pos,
1,1,8,Ctrl-Pos-555,Ctrl-Pos-555,pos,
1,1,9,Ctrl-Stringent-555,Ctrl-Stringent-555,pos,
1,1,10,Ctrl-Pos-647,Ctrl-Pos-647,pos,
1,1,11,Ctrl-Stringent-647,Ctrl-Stringent-647,pos,
1,1,12,MY-QC,Dela-00,pos,
1,1,13,MY-QC,Dela-01,pos,
1,1,14,MY-QC,Dela-02,pos,
1,1,15,MY-QC,Dela-03,pos,
1,1,16,MY-QC,Dela-04,pos,
1,1,17,MY-QC,Dela-05,pos,
1,1,18,MY-QC,Dela-06,pos,
1,1,19,MY-QC,Dela-07,pos,
1,1,20,MY-QC,Dela-08,pos,
1,1,21,MY-QC,Dela-09,pos,
1,1,22,MY-QC,Dela-10,pos,
1,1,23,MY-QC,Dela-11,pos,
1,1,24,MY-QC,Dela-12,pos,
1,1,25,MY-QC,Dela-13,pos,
1,1,26,MY-QC,Dela-14,pos,
1,1,27,MY-QC,Dela-15,pos,
1,1,28,MY-QC,Dela-16,pos,
1,1,29,MY-QC,Dela-17,pos,
1,1,30,MY-QC,Dela-18,pos,
1,1,31,MY-QC,Dela-19,pos,
1,1,32,MY-QC,Dela-20,pos,
1,1,33,MY-QC,Dela-21,pos,
1,1,34,MY-QC,Dela-22,pos,
1,1,35,MY-QC,Dela-23,pos,
1,1,36,MY-QC,Dela-24,pos,
1,1,37,MY-QC,Dela-25,pos,
1,1,38,MY-QC,Dela-26,pos,
1,1,39,MY-QC,Dela-27,pos,
1,1,40,MY-QC,Dela-28,pos,
1,1,41,MY-QC,Dela-29,pos,
1,1,42,MY-QC,Dela-30,pos,
1,1,43,MY-QC,Dela-31,pos,
1,1,44,MY-QC,Dela-32,pos,
1,1,45,MY-QC,Dela-33,pos,
1,1,46,MY-QC,Dela-34,pos,
1,1,47,MY-QC,Dela-35,pos,
1,1,48,MY-QC,Dela-36,pos,
1,1,49,MY-QC,Dela-37,pos,
1,1,50,MY-QC,Dela-38,pos,
1,1,51,MY-QC,Dela-39,pos,
1,1,52,MY-QC,Dela-40,pos,
1,1,53,MY-QC,Dela-41,pos,
1,1,54,MY-QC,Dela-42,pos,
1,1,55,MY-QC,Dela-43,pos,
1,1,56,MY-QC,Dela-44,pos,
1,2,1,MY-QC,Dela-00,pos,
1,2,2,MY-QC,Dela-01,pos,
1,2,3,MY-QC,Dela-02,pos,
1,2,4,MY-QC,Dela-03,pos,
1,2,5,MY-QC,Dela-04,pos,
1,2,6,MY-QC,Dela-05,pos,
1,2,7,MY-QC,Dela-06,pos,
1,2,8,MY-QC,Dela-07,pos,
1,2,9,MY-QC,Dela-08,pos,
1,2,10,MY-QC,Dela-09,pos,
1,2,11,MY-QC,Dela-10,pos,
1,2,12,MY-QC,Dela-11,pos,
1,2,13,MY-QC,Dela-12,pos,
1,2,14,MY-QC,Dela-13,pos,
1,2,15,MY-QC,Dela-14,pos,
1,2,16,MY-QC,Dela-15,pos,
1,2,17,MY-QC,Dela-16,pos,
1,2,18,MY-QC,Dela-17,pos,
1,2,19,MY-QC,Dela-18,pos,
1,2,20,MY-QC,Dela-19,pos,
1,2,21,MY-QC,Dela-20,pos,
1,2,22,MY-QC,Dela-21,pos,
1,2,23,MY-QC,Dela-22,pos,
1,2,24,MY-QC,Dela-23,pos,
