Hyb_Signal_GREEN,Assay_Signal_GREEN_maxLigand,Assay_Signal_GREEN_almostMaxLigand,Assay_Signal_RED_maxLigand,Assay_Signal_RED_almostMaxLigand
31204.96662,23962,25233.83333,2419.5,352.5
30670.66217,24385.66667,24780,1685.333333,393.6
31704.6499,25165.5,26530.16667,1477.166667,405.6666667
24757.0713,16371.66667,18078.83333,1481.5,458.8333333
28403.02947,19045.83333,21671,1855.833333,293.5
19347.18963,8530.5,11678,2090.6,361
12150.75233,4236.5,5315.666667,1807,295.6
16588.34355,6855,8582.333333,2961.333333,446.8333333
16550.0013,7083,8522.666667,2563,383.8333333
15092.12887,6348,7567.5,2628,397.4
10647.81913,4090,5089.5,2385.833333,432.1666667
33209.91679,19441.5,21787.83333,6755,1502.166667
31517.48228,20042,21831.66667,2950.5,508.1666667
35268.43162,24789,27725.33333,2033,355
33086.38909,23278.16667,23733.66667,2038.666667,400.6
32624.31996,25709.16667,26948.33333,3909.333333,536.6666667
31063.86151,24412,25243,2585.2,423.1666667
32581.56948,25968.5,27062,1701.166667,334.8333333
32440.07396,25936.83333,27293.66667,1834.6,332.5
33368.95715,27136.83333,27199.66667,1556.833333,436.3333333
31343.17424,22597.83333,25466.16667,1833.666667,512.1666667
33106.37756,24275.83333,26575,1920.666667,387.6666667
34429.59111,26174.16667,28407.33333,2582.666667,393.1666667
30931.09545,21188.16667,24517.66667,1903.333333,401.5
32111.73958,24285.5,25999.83333,1973.166667,396.3333333
33654.25963,26215.5,28200.33333,2002.666667,434.6666667
33647.08684,26896.16667,28481.16667,3012.2,381.8333333
32414.41406,26261.66667,27122.33333,1600.333333,370
30782.79968,23814,23141.33333,1389.8,522.3333333
29502.24448,20976.83333,23291.16667,1855.666667,465.1666667
26680.38396,17131.66667,19770.33333,1901.666667,395
23684.01523,13747.66667,15102,2354.5,341.1666667
20508.83606,9403.333333,11878.66667,2389.333333,420
18475.91627,8198.5,10133.66667,2639.5,406.8
21559.69318,10181,12005,3191.333333,504
17935.48631,7690.166667,9505,2820,428.8333333
36335.64347,24865.5,26180.66667,3980.8,742.1666667
36173.45593,26203.33333,28030.5,2107.333333,391.1666667
37502.85196,27677.66667,30424.5,1944.4,378.1666667
35321.68533,26154.83333,27991.66667,1747.666667,393.3333333
33823.16896,27314.16667,27566.16667,4586.833333,701.3333333
33425.16229,26164.66667,26274.33333,2446.166667,486.3333333
34183.81428,27733.5,28122.33333,1624.833333,354.1666667
33785.37259,27441.66667,27775.66667,1648.6,375.3333333
35290.63909,28214.16667,29408.66667,1720.5,469.2
34186.52588,25755.83333,27919,1918.166667,442.1666667
35654.8299,28353.33333,28834.33333,1988.166667,426.5
35651.35736,27780.5,28141.66667,2465.8,444.1666667
33758.30394,24898.16667,27602.16667,1722.666667,384.6
34226.40814,27496,28356,1997.166667,324.6666667
35627.63427,29500.33333,30483.66667,1984.666667,409.5
34919.2369,28839.33333,28753,2077,443.6666667
31673.58953,24167.66667,25706,1467.166667,454.1666667
33519.86344,26247.16667,27892,1835.833333,506.8
28837.28973,20253.83333,22648.66667,1463.833333,303.6666667
29766.8084,20399,23277.33333,2026.2,372.5
28236.08235,18785.66667,20627.83333,2603.166667,377
22720.28839,11124.16667,13601.16667,2188.8,396.5
22752.70332,11075.66667,12265.5,2514.166667,414.5
23565.35507,11616,13325.33333,3115.2,446.8333333
39297.70001,31256.33333,31437.5,2281,393
38381.66091,30140.66667,30382.33333,1681.166667,415.5
37857.5249,31403.33333,31158.33333,1723.5,377.1666667
37134.03228,30749.33333,29702.33333,1848.666667,380.6666667
35735.86498,29013.83333,30291.5,4417.166667,618
34624.66071,28839.66667,28444.16667,2280.5,446.1666667
35103.10969,27651,29779.5,1729.166667,506.3333333
35144.64118,28272.5,29897.5,1824.6,445.5
36266.97783,29701.66667,31260.16667,2027.333333,383.3333333
36532.43943,29981.16667,31273,1781,380.6666667
36295.72289,30381.33333,30631.83333,1841.833333,473.8333333
36278.53452,30073.5,31004.66667,2518.333333,361.3333333
35505.79987,28679.5,29211,1741.833333,429.6666667
36376.70845,30677.16667,31390.33333,1677.833333,378.3333333
35957.15566,30936,29862.5,1687.5,426.8333333
34124.02719,27779,27390.5,2073.166667,515.1666667
34470.53602,28608.83333,28815.5,1710,525.6666667
33164.19878,26992.16667,27563.5,1442.333333,361
31404.32631,22769.16667,24356.83333,1820.833333,316.6666667
31387.29447,23082.5,24284.33333,1722.333333,376.3333333
30291.0962,20760.16667,22623.5,2257.333333,456.3333333
25736.21741,13991.33333,16183.83333,2420.5,466.5
25804.3821,13253.16667,15735.33333,2932.333333,470
40897.79376,34065,33324.16667,1801,343.8
38830.83041,31659.16667,32371.83333,1658.5,335.8333333
39416.96622,33200.33333,32726,1562.666667,385
39037.28729,33362.5,32594,1790.6,384.8333333
35775.77182,29917.66667,30370.83333,4664.666667,788.5
35338.07158,29056.33333,29599.33333,2705.5,454.1666667
36271.21437,30087.33333,29322.16667,2048.6,432.5
36489.03149,30310.16667,31678.83333,2167,411.5
37493.23319,33227.33333,32140,2026,368.1666667
36915.77533,30772.16667,32490.66667,1885.166667,390.5
37061.90728,32520.66667,32102.16667,1611.833333,450
37190.90672,31360.66667,32595.16667,2520,450.8333333
36583.91572,30017.33333,31329.16667,1664.166667,402.1666667
36284.19366,30480.33333,30982.16667,1604.833333,407
35626.82185,29626.5,29902,1485.333333,557.5
35806.13281,29902,30097.83333,2673.5,468.5
33407.29261,26487.16667,27816.33333,1549.833333,388.5
34285.84091,27773.66667,28510.16667,1975.666667,391.8333333
32089.13076,24054.83333,25200.83333,1784,397.5
32711.61924,24745.66667,25986.66667,1876.666667,367.3333333
30897.63881,21663,22747.5,2015.5,404.6666667
28115.28567,16186.83333,17896.66667,2469.833333,514.1666667
41007.30532,35208.5,34771.83333,1873.6,349.1666667
39795.08302,33858.5,32954.66667,1590.333333,526.2
40348.00509,34497,34034.66667,1712.6,324.1666667
39352.60484,34243.5,32643.5,1743.666667,576
36738.80745,31131.83333,32034.83333,4327.5,708.1666667
36801.09706,30886.16667,31467.33333,2621.333333,583.8333333
37234.40369,31790.83333,32503.83333,1948,404.5
37726.54423,32732.16667,33413.5,2144.833333,438.8333333
37650.04542,34396.66667,33036.83333,1726.666667,340.1666667
37248.0799,33248.5,33920.33333,1612.5,371.3333333
37511.52726,33454.66667,33070.33333,1684.333333,398.6666667
37687.43273,33518.5,33133.33333,2034.166667,472.5
36677.66781,31962.5,31261,1337.166667,426.6666667
35652.15905,30313.33333,29577.33333,1436,438.2
37270.01507,32132.66667,31757.33333,1697.833333,444.6666667
35775.5565,29416.66667,30351,1992.666667,406.8333333
34595.29782,28387.5,28374.5,1897.666667,422
34069.40345,27635.66667,28026.83333,1833.833333,390.1666667
33507.64205,25771.66667,27530.66667,1964.8,504.8
32890.40633,25250.83333,25583.16667,1960.666667,501.1666667
32512.74507,23567.83333,23638.33333,2224.166667,518.5
1711.862729,451.1666667,569.5,1994.5,448.6
2271.815854,554.5,597,2056.4,407.6666667
5956.343355,1194.333333,1488.666667,2296.833333,541.3333333
2009.419981,464.8333333,453.6666667,1879.5,392.3333333
4951.639639,1247.666667,1555,2468.166667,397.8333333
2243.341619,559.1666667,858.5,2171.166667,343.8
2663.976997,732.5,956,1982.666667,457.6666667
6573.032868,1387.166667,2860.166667,2255.833333,390
12339.37926,4897.166667,7081.833333,2070.166667,540.8333333
7289.351839,1853.333333,3538.833333,2349.333333,411.3333333
10379.09276,4527.5,5794.666667,2031,462.4
4164.081952,1719,2148,2161.333333,443
1160.469105,338.8333333,549.8333333,2127.166667,427.5
2931.78129,1208.5,1510.666667,2190.333333,362.3333333
6327.065104,1792.833333,2386.666667,2386,370.3333333
5696.204546,1582,2056.166667,2083.6,359.3333333
6696.434304,1574.833333,2843.5,2255.166667,359.1666667
12512.26693,4790.833333,7212,2131.6,323.3333333
7634.425505,1711,3203.166667,2151.5,324.4
14977.7805,6204.833333,8499.833333,2341.333333,380.6666667
4889.960306,1100.833333,1728.333333,2294.833333,543.6666667
734.0873974,172.5,298.5,2093.166667,420
79.74254254,42.6,39.2,2406,412.1666667
247.4792456,62.83333333,92.33333333,1923,445.6
1181.6497,218,376.6666667,2272.833333,346.8333333
150.3079822,58.25,61,2102.666667,281.75
1073.190065,256.1666667,395.1666667,1938.166667,493.3333333
189.5798611,51.8,90.66666667,1720.333333,394.1666667
10710.79778,3247.666667,3548.166667,3099.833333,1001
7477.441635,1798.833333,2174.333333,2777.333333,549.1666667
12133.48276,3683.5,5024.5,2301.333333,401.5
10713.99392,3462.666667,3703,2144.4,431.6666667
12414.97739,4278.833333,5632.833333,2716.166667,414.1666667
7242.598643,1978.666667,2625,2196.666667,385.1666667
10880.81175,3386.666667,5435.166667,2272,420.6666667
14612.80394,6910.5,9471.333333,2190,399.8333333
17682.34442,9792.833333,11744,6225.2,373
13639.19145,6290.333333,8249.5,2191.833333,338.2
12403.13514,4514,7222.333333,2260.833333,387.8333333
8536.980193,2681.5,3702.166667,2425,426.3333333
5277.185803,1671.166667,2037.166667,2192.333333,377.5
9709.248146,2660.5,4221.833333,2280.75,413.4
13176.12094,4086.666667,6344.833333,2409.2,365.3333333
13880.2691,5409.333333,7968.833333,2336.666667,319.8
14550.83195,7557.666667,9086.333333,2245.2,413
18043.98493,9465.333333,12440.16667,2181.5,436
17894.28389,9559.333333,11498.83333,2123.666667,454.8333333
14559.42685,5733.833333,7897.666667,2090.166667,464.8
10559.57686,2936.666667,4213.833333,2018.666667,415.5
710.165404,172.6666667,257.3333333,1810,445
