1,2,3,4,5,6,7,8,Buffer1,Buffer2,Blank1,Blank2
0.980319857,1.057987217,1.033618724,1.004441539,1.062016674,1.006460074,1.059830136,1.088049154,1.047973814,0.955781273,1,1
1.04217744,1.137057662,1.182494744,1.056664946,1.199317886,1.057217072,1.148296317,1.141215433,1.15259049,0.970486426,1,1
1.042174664,1.120371042,1.170652967,1.093287587,1.149214519,1.031591003,1.120782,1.114432825,1.16248289,1.003935799,1,1
0.902949909,0.929000785,0.990716052,0.976843656,1.135641915,0.905852044,1.151473826,0.924141465,1.075981029,0.898694238,1,1
0.455328588,0.695552426,0.731332233,0.823401712,0.852276269,0.860034244,0.877554495,0.904181656,0.771268238,0.785377602,1,1
0.572365979,0.672251802,0.801839178,0.8139589,1.048545589,0.854619571,1.211461472,0.936717565,0.972023182,0.758543244,1,1
0.340785626,0.560920102,0.650593556,0.761162297,0.878481687,0.861069631,0.933495749,0.911206326,0.86620944,0.780302794,1,1
0.428584493,0.519532638,0.685429552,0.755345278,0.962330069,0.864123918,0.961101564,0.893337975,0.961852833,0.798287297,1,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.437114179,0.498258719,0.607245275,0.794659896,0.850552174,0.888218791,0.914323132,0.875176478,0.888638678,0.846433373,1,1
0.49161756,0.513511765,0.696501118,0.778963812,1.030337447,0.876535565,1.007088982,0.822701954,1.017767515,1.0161474,1,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.634718154,0.784736825,0.921022114,0.882373027,1.049483513,0.880837632,1.059693515,1.001082706,0.990416032,0.82846222,1,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.805320567,1.000787178,1.093552151,1.020403078,1.070038354,0.989640921,1.173593007,1.067587102,1.025805416,0.873899672,1,1
0.949695076,1.114683521,1.098143479,1.114706788,1.143959,1.127457989,1.043975352,1.199017672,1.047556198,1.002190415,1,1
0.831091292,1.018074201,0.99587284,1.039360566,1.032546183,1.007349223,1.103019315,1.112761557,1.012438465,0.985371785,1,1
